Tract,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Education,Total
602,589,129,3787,274,1682,2446,732, -   ,9638
603,59, * , * ,22,497,6,136, -   ,729
604,13,3, -   , * ,255, * ,16,60,350
605, * ,67, * ,105,879,13,47,38,1160
606,31,90, -   ,8,468,30,32,124,783
607,16,32,8,160,1435,7,83,60,1802
608,51,39, -   ,219,257,6,1,113,685
609.03,12,43, -   ,203,201, -   ,6,51,516
609.04, * ,20, -   , -   ,384, * ,16,82,519
609.05, * ,50, -   ,55,724, * , -   ,107,954
609.06, * ,40, -   ,239,332, * ,218,223,1066
610.01, * ,23, * ,17,244,13,21,32,360
610.02, * ,155, * ,336,1,784,38,94,888,3330
611, * ,370, * ,778,3779,74,637,260,5923
612,48,48, * ,56,635, * ,38,52,912
613, * ,20, * ,98,742,40,130,140,1199
614, * ,24, * ,45,5839,61,1230,483,7703
615,65,117, * ,142,7193, * ,16,205,7807
616.01,95,2493,96,107,5545,22,1303, -   ,9662
616.02,210,792,240,157,1557,49,224,502,3730
617,246, * , * ,90,2123,104,509,94,3246
618,5, * , -   ,65,185, * ,5,303,593
619, * ,30, -   ,120,827, * ,688, -   ,1672
620,14, -   , -   , * ,227, * ,40,181,469
623, * , * , -   ,5,92, * , -   ,65,169
624, * ,52, -   ,178,310, * ,23,137,721
625,67, * , -   ,194,241, * ,39,222,784
626,905,514,1680,4209,4201,1665,3271,54,16498
628.01,258,78,274,324,624,85,214,31,1,889
628.02,123,63,100,16,469,28, -   ,292,1091
629, * ,169, * ,510,339,28,96,219,1401
630, * , * ,261,552,358,351, -   ,131,1769
631, * , * , -   ,158,782, -   ,13, -   ,968
632,13,23, * ,79,317, * ,10,71,517
633, * ,39, * ,91,509,38,48,62,828
634,29,98, * ,318,1076, * , -   ,76,1615
635.01, * ,24, * ,205,488,19,27,172,946
635.02,4, * , -   , * ,153, * , -   ,107,277
716.01,104,45,89,243,247,47,38,60,873
716.02,298,50,39,61,905,257, -   ,140,1751
717.03, * ,54, -   , * ,543, -   ,36, -   ,684
717.04,84,17,79,16,272,164, -   , -   ,632
717.05,149,55,71,149,559,49, -   ,59,1091
718.03,146,244,168,479,687,72, -   ,553,2349
723.05,29,225, * ,44,618, * ,73,96,1102
723.09, * ,18, -   ,12,141, * ,9,68,294
723.1,4,63,37,284,461,6, -   ,348,1203
723.11,111,210,45,153,1214,77,216,65,2092
